ID,Title (EN),Title (JP),Artist name (EN),Artist name (JP),Description (EN),Description (JP),Video URL,Creation Date,Color,Sound,Run time (HH:MM:SS),Format,Projection / Channel
MI_001,Party,パーティ,MIYAI Rikuro,宮井陸郎,,,,1970,BW,Silent,00:42:00,16mm,
AZ_001,Cinematic Illumination,シネマティック・イルミネーション,AZUCHI GULLIVER Shuzo ,シュウゾウ・アヅチ・ガリバー,,,,1968–69,BW,Silent,variable / 可変,35 mm slides,
JO_010,新宿ステーション,Shinjuku Station,JONOUCHI Motoharu,城之内元晴,,,,1974,BW,Sound,00:15:00,16mm,
OE_001,Loop Siki No.1 / No.2 / No.3,ループ式　No.1 / No.2 / No.3,OE Masanori,おおえまさのり,,,,1966,BW,Silent,00:02:00,16mm,
MA_001,Marine Snow,マリーン・スノウ,MANABE Hiroshi,真鍋博,,,,1960,BW,Sound,00:22:00,16mm,
