Work ID,Component ID,Previous ID,Artist Name (EN),Artist Name (JP),Component Title (EN),Component Title (JP),Component Description (EN),Component Description (JP),Contributors (EN),Contributors (JP),Collection,Recording Date,Color,Sound,Run time (HH:MM:SS),Media Type,Media Format,Component Type,Relation,Film Process,Film Element Type,Film Wind,FPS,Audio Speed,Brand,Reel Size,Audio Reel Capacity,Video Stock Length,Video Standard,File Name,Codec,Codec ID,File Size (GB),Duration,Bit Rate,Dimensions,Display Aspect Ratio,Bit Depth,Scan Type,Encoded Date,Provenance,Viewing Restrictions,Terms Governing Use,Housing Annotations,Item Annotations,Condition Notes (EN),Condition Notes (JP),Notes,Date of Entry (MM-DD-YYYY),Cataloger
TA_069,IT_100,,IIMURA Takahiko,飯村隆彦,Sakasama (Upside Down),さかさま,,,,,Iimura Takahiko,1963,BW,Silent,00:13:00,Film,16mm,,,Dupe Neg / デュープ・ネガ　,Internegative / インターネガ,,,,,,,,,,,,,,,,,,,,,,,"Metal / メタル缶; side:Sakasama (1963),Inter Nega; print 1994
TOP: TAKA IIMUTA, ""SAKASAMA"" 1963, B/W, Silent.16FPS,Inter Nega",,,,,,CCJ
TA_069,IT_100.1,,IIMURA Takahiko,飯村隆彦,Sakasama (Upside Down),さかさま,,,,,Iimura Takahiko,,BW,Silent,00:12:00,Film,16mm,,,Master / マスター,Internegative / インターネガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCJ
TA_069,IT_258,,IIMURA Takahiko,飯村隆彦,Sakasama (Upside Down),さかさま,,,,,Iimura Takahiko,,BW,Silent,00:13:00,Film,16mm,,,Duplicate Negative / デュープ・ネガ　,Internegative / インターネガ,,16fps,,,,,,,,,,,,,,,,,,,,,"Metal / メタル缶; side:Sakasama (1963),Inter Nega
TOP: TAKA IIMUTA, ""SAKASAMA"" 1963, B/W, Silent.16FPS,Inter Nega
",,,,"print 1994; 20190325 LD: Component ID was IT_100 but that was a duplicate, so I changed it to a unique ID, IT_258",,CCJ
TA_070,IT_130,35,IIMURA Takahiko,飯村隆彦,Scared to Death,スケアド・トゥ・デス,,,,,Iimura Takahiko,1989,,,00:17:00,Video,U-matic S,,,Master / マスター,,,,,,,,,,,,,,,,,,,,,,,,,,Patches of mold,,,,CCJ
TA_071,IT_109,"8, 5",IIMURA Takahiko,飯村隆彦,Self Identity,セルフ・アイデンティティ,,,,,Iimura Takahiko,1978,,,00:39:00,Video,U-matic,,,Master / マスター,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Per Iimura, a version of Self Identities with 5 parts. Later, parts 4 & 5 were made into separate pieces. Creation date is from catalog. Both labeled Master although there are 2 copies; see #9. Run time from catalog.",,
TA_071,IT_110,"9, 8-5",IIMURA Takahiko,飯村隆彦,Self Identity,セルフ・アイデンティティ,,,,,Iimura Takahiko,,,,00:37:00,Video,U-matic,,,Master / マスター,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Per Iimura, a version of Self Identities with 5 parts. Later, parts 4 & 5 were made into separate pieces. Creation date is from catalog. Both labeled Master although there are 2 copies; see #8.",,CCJ
TA_072,IT_154,60,IIMURA Takahiko,飯村隆彦,Self Identity Series,セルフ・アイデンティティ・シリーズ,,,,,Iimura Takahiko,1975,,,00:29:30,Video,U-matic,,,Master / マスター,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCJ
TA_073,IT_245,,IIMURA Takahiko,飯村隆彦,Shelter 9999,シェルター9999,,,,,Iimura Takahiko,,BW,Silent,00:35:00,Film,16mm,,,Master / マスター,Positive / ポジ,,24fps,,,,,,,,,,,,,,,,,,,,,Cardboard / ボール紙,,,,ケースにベルト付き / 別撮り New York Scene カラースライド31枚を含む,,
TA_074,IT_156,,IIMURA Takahiko,飯村隆彦,Shifting,シフティング,,,,,Iimura Takahiko,1976,,,00:22:00,Video,U-matic,,,Master / マスター,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCJ
TA_075,IT_196,,IIMURA Takahiko,飯村隆彦,SHUTTER,シャッター,,,Sound by Sato Keijiro,,Iimura Takahiko,,,,,Film,16mm,,,Master / マスター,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,Pix #1,,,,Picture print,,CCJ
