ID,Title (EN),Title (JP),Component ID,Component Name,Previous ID,Artist Name (EN),Artist Name (JP),Description (EN),Description (JP),Contributors (EN),Contributors (JP),Description (JP),Creation Date,Color,Sound,Run time (HH:MM:SS),Collection,Media Type,Media Format,Component Type,Relation,Film Process Type,Film Element Type,Film Wind,FPS,Audio Speed,Brand,Reel Size,Audio Reel Capacity,Video Stock Length,Video Standard,File Name,Codec,Codec ID,File Size (GB),Duration,Bit Rate,Dimensions,Display Aspect Ratio,Bit Depth,Scan Type,Encoded Date,Provenance,Viewing Restrictions,Terms of Governing Use,Color,Sound,FPS,Ft.,Reel/Core,Film Base,Brand,Housing Material,Housing Annotations,Item Annotations,Condition Notes (EN),Condition Notes (JP),Digitization Status (EN),Digitization Status (JP),"Rights Holder Primary (EN)
（Name, Address, Phone, Email)",JP Rights Holder Primary (JP),Rights Holder Notes (EN),Rights Holder Notes (JP),Genre,Cataloger & Date,Cataloger & Date Other,Notes,Date of Entry (MM-DD-YYYY),Cataloger
TI_011,Ai (LOVE),あい,,,,TAKAHIKO Iimura,飯村隆彦,Blown-up from R. 8mm,,Sound by Yoko Ono,,,1962,,,12 min,,Film,16mm,,,Duplicate Print / デュープ　,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,BW,Sound,24fps,,,,,,"Metal / メタル缶; AI (Love), 1962, BW, 12min, 24fps, 
Top: Ai (LOVE), 1962, BW, 12 min, 24fps, Music by Yoko Ono, print 1993",AI (LOVE),,,,,,,,,,,"AA, RI",1993 print,,CCJ
TI_012,Ai (LOVE),あい,,,,TAKAHIKO Iimura,飯村隆彦,Blown-up from R. 8mm,,Sound by Yoko Ono,,,1962,,,10 min,,Film,16mm,,,Duplicate Print / デュープ　,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,BW,N/A,,,,,,,Metal / メタル缶,,Lots mold,,,,,,,,,,"AA, RI",,,CCJ
TI_013,Ai (LOVE),あい,,,,TAKAHIKO Iimura,飯村隆彦,Blown-up from R. 8mm,,Sound by Yoko Ono,,,1962,,,13 min,,Film,16mm,,,Duplicate Print / デュープ　,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,BW,Silent,,,,,,,Metal / メタル缶,,,,,,,,,,,,"AA, RI",,,CCJ
TI_014,Ai (LOVE),あい,,,,TAKAHIKO Iimura,飯村隆彦,Blown-up from R. 8mm,,,,,1962,,,15 min,,Film,16mm,,,Duplicate Print / デュープ　,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,BW,Sound,24fps,,,,,,Plastic / プラスチック,,,,,,,,,,,,"AA, RI",,,CCJ
TI_015,Ai (LOVE),あい,,,,TAKAHIKO Iimura,飯村隆彦,Blown-up from R. 8mm,,,,,1962,,,15 min,,Film,16mm,,,Duplicate Print / デュープ　,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,BW,Sound,,,,,,,"Plastic / プラスチック; Limited Edition 4/5
Copyright 2005 Taka Iimura
With signature",,,,,,,,,,,,"AA, RI",,,CCJ
TI_016,Ai (LOVE),あい,,,,TAKAHIKO Iimura,飯村隆彦,,,,,,1962,,,15 min,,Film,16mm,,,Duplicate Print / デュープ　,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,BW,Sound,,,,,,,"Plastic / プラスチック; Limited Edition 5/5
Copyright 2005 Taka Iimura
With signature",,,,,,,,,,,,"AA, RI",,,CCJ
TI_017,Ai (LOVE),あい,,,,TAKAHIKO Iimura,飯村隆彦,,,,,,1962,,,15 min,,Film,16mm,,,Duplicate Print / デュープ　,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,BW,Sound,,,,,,,Plastic / プラスチック,,,,,,,,,,,,"AA, RI",,,CCJ
TI_018,DESADE,ド・サド,,,,TAKAHIKO Iimura,飯村隆彦,,,,,,1962,,,9 min,,Film,16mm,,,Master / マスター,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,BW,Sound,24fps,,,,,,Metal / メタル缶,,,,,,,,,,,,"AA, RI",,,CCJ
TI_019,DESADE,ド・サド,,,,TAKAHIKO Iimura,飯村隆彦,,,,,,1962,,,9 min,,Film,16mm,,,Duplicate Print / デュープ　,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,BW,Sound,24fps,,,,,,Metal / メタル缶; １９９５年プリント,,,,,,,,,,,,"AA, RI",,,CCJ
TI_020,DESADE (old version),ド・サド(旧版),,,,TAKAHIKO Iimura,飯村隆彦,,,,,,1962,,,9 min,,Film,16mm,,,Duplicate Print / デュープ　,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,BW,Sound,24fps,,,,,,Metal / メタル缶; １９９６年プリント,,,,,,,,,,,,"AA, RI",,,CCJ
TI_021,IRO (Colors),いろ,,,,TAKAHIKO Iimura,飯村隆彦,,,,,,1962,,,14 min,,Film,8mm,,,Camera Original / カメラ・オリジナル,Reversal Positive / リバーサル・ポジ,,,,,,,,,,,,,,,,,,,,,,,Color,Silent,16fps,,,,,,,,,,,,,,,,,,"AA, RI",,,CCJ
TI_022,IRO (Colors),いろ,,,,TAKAHIKO Iimura,飯村隆彦,Blown-up from R. 8mm,,Sound by Tone Yasunao,音：刀根康尚,,1962,,,11 min,,Film,16mm,,,Duplicate Print / デュープ　,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,Color,Sound,24fps,,,,,,,,,,,,,,,,,,"AA, RI",,,CCJ
TI_023,IRO (Colors),いろ,,,,TAKAHIKO Iimura,飯村隆彦,Blown-up from R. 8mm,,Sound by Tone Yasunao,音：刀根康尚,,1962,,,11 min,,Film,16mm,,,Duplicate Print / デュープ　,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,Color,Sound,24fps,,,,,,,,,,,,,,,,,,"AA, RI",Master 16mm is missing,,CCJ
TI_024,ONAN,オナン,,,,TAKAHIKO Iimura,飯村隆彦,,,Music by Tone Yasunao,音：刀根康尚,,1964,,,8 min,,Film,16mm,,,Duplicate Print / デュープ　,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,BW,Sound,24fps,,,,,,Plastic / プラスチック,,,,,,,,,,,,"AA, RI",,,CCJ
